Time,Butler Trail : Crenshaw Bridge - Urban Trail,Butler Trail: South Lamar - Urban Trail,Butler Trail: North Congress - Urban Trail,Butler Trail : Longhorn Dam - Urban Trail,Shoal Creek Trail & 24th St- Urban Trail
1/7/18 0:00,6033,,,,108
1/8/18 0:00,4147,,,,191
1/9/18 0:00,4408,,,,153
1/10/18 0:00,3534,,,,252
1/11/18 0:00,3260,,,,123
1/12/18 0:00,2614,,,,75
1/13/18 0:00,5478,,,,111
1/14/18 0:00,6111,,,,97
1/15/18 0:00,4837,,,,220
1/16/18 0:00,380,,,,15
1/17/18 0:00,1216,,,,43
1/18/18 0:00,1700,,,,53
1/19/18 0:00,2146,,,,93
1/20/18 0:00,7626,,,,188
1/21/18 0:00,3824,,,,100
1/22/18 0:00,3928,,,,164
1/23/18 0:00,3815,,,,159
1/24/18 0:00,3881,,,,169
1/25/18 0:00,3720,,,,107
1/26/18 0:00,2795,,,,112
1/27/18 0:00,4977,,,,137
1/28/18 0:00,8953,,,,210
1/29/18 0:00,3993,,,,149
1/30/18 0:00,3959,,,,121
1/31/18 0:00,3998,,,,186
2/1/18 0:00,4126,,,,177
2/2/18 0:00,2940,,,,106
2/3/18 0:00,4493,,,,107
2/4/18 0:00,8646,,,,231
2/5/18 0:00,2605,,,,93
2/6/18 0:00,1425,,,,57
2/7/18 0:00,1572,,,,82
2/8/18 0:00,3249,,,,111
2/9/18 0:00,3005,,,,144
2/10/18 0:00,5490,,,,96
2/11/18 0:00,1753,,,,27
2/12/18 0:00,2232,,,,94
2/13/18 0:00,1563,,,,65
2/14/18 0:00,2722,,,,129
2/15/18 0:00,3396,,,,145
2/16/18 0:00,3407,,,,155
2/17/18 0:00,5340,,,,115
2/18/18 0:00,4705,,,,148
2/19/18 0:00,3926,,,,134
2/20/18 0:00,1838,,,,78
2/21/18 0:00,1165,,,,
2/22/18 0:00,1151,,,,
2/23/18 0:00,1682,,,,
2/24/18 0:00,5138,,,,
2/25/18 0:00,5850,,,,
2/26/18 0:00,4677,,,,
2/27/18 0:00,2460,,,,
2/28/18 0:00,3517,,,,
3/1/18 0:00,4689,,,,100
3/2/18 0:00,4273,,,,163
3/3/18 0:00,5817,,,,196
3/4/18 0:00,7831,,,,1
3/5/18 0:00,3801,,,,10
3/6/18 0:00,4965,,,,183
3/7/18 0:00,4470,,,,193
3/8/18 0:00,3920,,,,160
3/9/18 0:00,3336,,,,184
3/10/18 0:00,5550,,,,206
